tag_code,date,city_location,state_province,zip_pc,country,first_name,notes
AGAX330,2022-08-17T00:00:00Z,Clare,IL,,USA,Jack,She was mated. They were perched higher top a compass plant.
AGAX363,2022-08-17T00:00:00Z,Burlington,WI,,USA,Angela,NA
AGAX578,2022-08-13T00:00:00Z,Milwaukee,WI,,USA,Luke,On a thistle
AGAX704,2022-08-29T00:00:00Z,Milwaukee,WI,,USA,Katie,Found on a bush in my parents front yard
AGAX704,2022-08-29T00:00:00Z,MILWAUKEE,WI,,USA,KATIE,NA
AGAX810,2022-09-05T00:00:00Z,Whitefish Bay,WI,,USA,Jack,NA
AGAX883,2022-09-01T00:00:00Z,Milwaukee,WI,,USA,John,NA
AGAY688,2022-08-22T00:00:00Z,Fort Atkinson,WI,,USA,Linda,Hovering over the flowers
AGBA262,2022-10-22T00:00:00Z,Madison,WI,,USA,Dave,NA
AGBA262,2022-10-22T00:00:00Z,Madison,WI,,USA,Kevin,Olbrich Botanical Garden
AGBA262,2022-10-22T00:00:00Z,Madison,WI,,USA,Lindsey,Nectaring at Olbrich Gardens
AGBA849,2022-09-07T00:00:00Z,Sun Prairie,WI,,USA,Jacqueline,"Yard, on blazingstar"
AGBB173,2022-08-29T00:00:00Z,River Falls,WI,,USA,Betty,Near Lake George/Kinnickinnic River
AGBB173,2022-08-29T00:00:00Z,River Falls,WI,,USA,Betty,Around Lake George
AGBB396,2022-08-28T00:00:00Z,Rochester,MN,,USA,Joanna,NA
AGBB396,2022-08-28T00:00:00Z,Rochester,MN,,USA,Robin,"Female. Found feeding on wildflowers at Cascade Lake Park in Rochester, MN"
AGBB526,2022-09-07T00:00:00Z,River Falls,WI,,USA,Amanda,"Working on an organic berry farm. Found fluttering in the zinnia patch, near the sunflower patch and pumpkin patch. Thought it was a Chiquita banana sticker for a second!"
AGBE858,2022-08-29T00:00:00Z,Fond du Lac,WI,,USA,Deb,It came around a couple times today
AGBG478,2022-08-14T00:00:00Z,Sioux Falls,SD,,USA,London,NA
AGBH029,2022-09-09T00:00:00Z,Virginia beach,VA,,USA,Kristen,"Found on the ground, dmoved to flowers in the shade. Did not seem in the best health"
AGBH591,2022-09-03T00:00:00Z,New London,CT,,USA,Danielle,"Mitchell Woods path near Ocean Avenue, New London, CT"
AGBH595,2022-08-25T00:00:00Z,Narragansett,RI,,USA,Denise,"Near the Shoreline, in the tall greenery and path to the ocean...just beyond Aunt Carrie's Restaurant Narragansett RI"
AGBL052,2022-09-04T00:00:00Z,Falmouth,MA,,USA,Stacey,On my butterfly bush in my yard.
AGBL060,2022-09-27T00:00:00Z,Falmouth,MA,,USA,Stacey,2nd one found this season on my butterfly bush
AGBL300,2022-09-16T00:00:00Z,Barnstable,MA,,USA,Lisa,"It was alive, had a broken wing and eventually died"
AGBL597,2022-09-30T00:00:00Z,Hyannis,MA,,USA,Tony,NA
AGBL730,2022-09-08T00:00:00Z,Harwich port,MA,,USA,NA,NA
AGBL753,2022-08-19T00:00:00Z,Cape Cod,MA,,USA,Dustin,NA
AGBL824,2022-09-18T00:00:00Z,Mashpee,MA,,USA,Paul,Alive and well feeding on our zinnias out front!
AGBL828,2022-09-18T00:00:00Z,BARNSTABLE,MA,,USA,Kira,NA
AGBM126,2022-09-23T00:00:00Z,Portsmouth,RI,,USA,Kathy,He was feeding on my zinnias.
AGBN715,2022-08-18T00:00:00Z,Townsend,MA,,USA,Lana,Drinking from flowers of common boneset by a marsh
AGBN881,2022-09-17T00:00:00Z,Lavalette,NJ,,USA,Katherine,"Found on driveway of rental home I’m at. Very lethargic, gave some Gatorade on a paper towel. Unsure if he will make it."
AGBP025,2022-09-20T00:00:00Z,Long Valley,NJ,,USA,Renee,it is injured and in a box in our garage
